iter	Passed	Remaining
444	1144	1427
445	1146	1423
446	1147	1419
447	1149	1416
448	1151	1412
449	1152	1409
450	1154	1405
451	1156	1402
452	1158	1398
453	1159	1395
454	1161	1391
455	1163	1388
456	1165	1384
457	1166	1381
458	1168	1377
459	1170	1374
460	1172	1370
461	1174	1367
462	1175	1363
463	1177	1360
464	1179	1356
465	1180	1353
466	1182	1349
467	1184	1346
468	1186	1342
469	1187	1339
470	1189	1336
471	1191	1332
472	1193	1329
473	1195	1326
474	1196	1322
475	1198	1319
476	1200	1316
477	1202	1313
478	1204	1310
479	1206	1307
480	1208	1303
481	1210	1300
482	1211	1297
483	1213	1293
484	1215	1290
485	1216	1287
486	1218	1283
487	1220	1280
488	1222	1277
489	1223	1273
490	1225	1270
491	1227	1267
492	1229	1263
493	1230	1260
494	1232	1257
495	1234	1254
496	1236	1251
497	1237	1247
498	1239	1244
499	1241	1241
500	1243	1238
501	1244	1234
502	1246	1231
503	1248	1228
504	1250	1225
505	1252	1222
506	1253	1219
507	1255	1216
508	1257	1213
509	1259	1209
510	1260	1206
511	1262	1203
512	1264	1200
513	1266	1197
514	1267	1194
515	1269	1190
516	1271	1187
517	1273	1184
518	1274	1181
519	1276	1178
520	1278	1175
521	1280	1172
522	1281	1169
523	1283	1166
524	1285	1162
525	1287	1159
526	1288	1156
527	1290	1154
528	1292	1151
529	1294	1147
530	1296	1144
531	1298	1141
532	1299	1138
533	1301	1135
534	1303	1132
535	1305	1129
536	1306	1126
537	1308	1123
538	1310	1120
539	1312	1117
540	1314	1114
541	1315	1111
542	1317	1108
543	1319	1105
544	1321	1102
545	1322	1099
546	1324	1096
547	1326	1093
548	1328	1091
549	1329	1088
550	1331	1085
551	1333	1082
552	1335	1079
553	1336	1076
554	1338	1073
555	1340	1070
556	1342	1067
557	1343	1064
558	1345	1061
559	1347	1058
560	1349	1055
561	1350	1052
562	1352	1049
563	1354	1046
564	1356	1044
565	1357	1041
566	1359	1038
567	1361	1035
568	1362	1032
569	1364	1029
570	1366	1026
571	1368	1023
572	1369	1020
573	1371	1017
574	1373	1015
575	1374	1012
576	1376	1009
577	1378	1006
578	1380	1003
579	1381	1000
580	1383	997
581	1385	995
582	1387	992
583	1388	989
584	1390	986
585	1392	983
586	1394	980
587	1395	978
588	1397	975
589	1399	972
590	1401	969
591	1403	967
592	1405	964
593	1406	961
594	1408	958
595	1410	955
596	1411	953
597	1413	950
598	1415	947
599	1417	944
600	1418	942
601	1420	939
602	1422	936
603	1424	933
604	1425	930
605	1427	928
606	1429	925
607	1431	922
608	1432	919
609	1434	917
610	1436	914
611	1438	911
612	1439	908
613	1441	906
614	1443	903
615	1444	900
616	1446	897
617	1448	895
618	1450	892
619	1451	889
620	1453	887
621	1455	884
622	1457	881
623	1458	879
624	1460	876
625	1462	873
626	1464	870
627	1465	868
628	1467	865
629	1469	862
630	1471	860
631	1472	857
632	1474	854
633	1476	852
634	1477	849
635	1479	846
636	1481	844
637	1483	841
638	1484	838
639	1486	836
640	1488	833
641	1490	830
642	1491	828
643	1493	825
644	1495	822
645	1496	820
646	1498	817
647	1500	815
648	1502	812
649	1503	809
650	1505	807
651	1507	804
652	1509	802
653	1511	799
654	1513	797
655	1515	794
656	1517	792
657	1519	789
658	1521	787
659	1522	784
660	1524	781
661	1526	779
662	1528	776
663	1530	774
664	1531	771
665	1533	769
666	1535	766
667	1537	764
668	1539	761
669	1541	759
670	1543	756
671	1545	754
672	1547	751
673	1548	749
674	1550	746
675	1552	744
676	1554	741
