iter	RMSE
0	16.25314807
1	16.21493819
2	16.17239427
3	16.13799836
4	16.10386427
5	16.06697705
6	16.03377993
7	16.00710143
8	15.97520639
9	15.94583133
10	15.92453545
11	15.90308713
12	15.8789074
13	15.85870041
14	15.8377661
15	15.8178446
16	15.80348489
17	15.78314154
18	15.76634799
19	15.74896666
20	15.73153903
21	15.71479046
22	15.70067969
23	15.68582855
24	15.66785478
25	15.65291095
26	15.63805621
27	15.62626108
28	15.61222713
29	15.60160791
30	15.58796855
31	15.58035329
32	15.56549334
33	15.55431291
34	15.53891846
35	15.52821397
36	15.51898657
37	15.50234664
38	15.49253744
39	15.48128514
40	15.46678541
41	15.45177029
42	15.43894528
43	15.42924888
44	15.41605625
45	15.40571087
46	15.39771562
47	15.38842851
48	15.37931227
49	15.36540435
50	15.35729729
51	15.34535254
52	15.32921567
53	15.31853786
54	15.3109835
55	15.300513
56	15.28994899
57	15.2780355
58	15.2701363
59	15.26129786
60	15.25289384
61	15.2416808
62	15.23086921
63	15.22317317
64	15.21230645
65	15.2048115
66	15.19775824
67	15.18960174
68	15.1809052
69	15.17131241
70	15.16016404
71	15.15034561
72	15.1436811
73	15.13262866
74	15.12191925
75	15.11228592
76	15.105331
77	15.09432336
78	15.08502217
79	15.07898664
80	15.07383319
81	15.06339361
82	15.05870606
83	15.05430168
84	15.04667511
85	15.03753193
86	15.02740376
87	15.0166126
88	15.00941
89	14.99886824
90	14.99101306
91	14.97903464
92	14.96850816
93	14.95807073
94	14.94911668
95	14.9384239
96	14.93198753
97	14.92121344
98	14.91106956
99	14.89996043
100	14.89036369
101	14.88183819
102	14.8720196
103	14.86089188
104	14.84993039
105	14.84576789
106	14.83457606
107	14.82539566
108	14.81631099
109	14.81611754
110	14.80801452
111	14.79816195
112	14.78940687
113	14.78317247
114	14.77791318
115	14.77014069
116	14.76267148
117	14.74807749
118	14.73832366
119	14.73219431
120	14.72310188
121	14.71624472
122	14.70609943
123	14.69951578
124	14.69140205
125	14.68410594
126	14.6742588
127	14.66560707
128	14.65615421
129	14.64946904
130	14.6425645
131	14.63077744
132	14.6226022
133	14.61551296
134	14.60988385
135	14.5983837
136	14.58816418
137	14.57754787
138	14.56741635
139	14.56285203
140	14.5547452
141	14.54684304
142	14.53609141
143	14.52493073
144	14.51501326
145	14.50529305
146	14.49984334
147	14.49242111
148	14.48331487
149	14.47716557
150	14.46814417
151	14.46245607
152	14.45256321
153	14.44725143
154	14.43831633
155	14.42916268
156	14.42044643
157	14.41425987
158	14.40671925
159	14.39393088
160	14.38482851
161	14.37647012
162	14.36626104
163	14.35727017
164	14.34787975
165	14.33785679
166	14.3305678
167	14.32292824
168	14.31726794
169	14.3102594
170	14.30343873
171	14.29580379
172	14.28912518
173	14.27848507
174	14.27363096
175	14.26266384
176	14.25275357
177	14.24261134
178	14.23369092
179	14.22131939
180	14.21357152
181	14.20588561
182	14.194956
183	14.18744979
184	14.18269347
185	14.17143434
186	14.16680851
187	14.16188729
188	14.1545331
189	14.14765786
190	14.14310403
191	14.13432568
192	14.12723973
193	14.12122605
194	14.11605039
195	14.10086313
196	14.09126578
197	14.08423019
198	14.07541532
199	14.06149468
200	14.05407182
201	14.04543526
202	14.03331186
203	14.02491751
204	14.01660741
205	14.01393788
206	14.00913447
207	14.00272514
208	13.9981801
209	13.98397812
210	13.97876409
211	13.9665394
212	13.95585082
213	13.94669562
214	13.94173782
215	13.92827704
216	13.92323355
217	13.91745899
218	13.90973173
219	13.90327916
220	13.8927555
221	13.88732463
222	13.87759027
223	13.86731795
224	13.86313727
225	13.85213958
226	13.84524519
227	13.8396114
228	13.83284252
229	13.82435657
230	13.81894711
231	13.8143808
232	13.80749568
233	13.79874561
234	13.79402228
235	13.78688169
236	13.77703678
237	13.77215277
238	13.75969334
239	13.75117671
240	13.74554119
241	13.7407918
242	13.73125324
243	13.72487981
244	13.71719234
245	13.7123886
246	13.70157024
247	13.69601548
248	13.68881038
249	13.67944691
250	13.66795741
251	13.66082115
252	13.65553548
253	13.65029532
254	13.64054187
255	13.63224261
256	13.62672878
257	13.61976834
258	13.61340637
259	13.60461679
260	13.59764606
261	13.59037851
262	13.58369385
263	13.57227501
264	13.56353879
265	13.55557396
266	13.54892815
267	13.54268965
268	13.53134991
269	13.52689687
270	13.51296955
271	13.50553281
272	13.49625293
273	13.48726196
274	13.48202883
275	13.47489552
276	13.47012116
277	13.46514033
278	13.45874636
279	13.4526056
280	13.44346817
281	13.43768352
282	13.43146989
283	13.42383788
284	13.41427636
285	13.40695032
286	13.40189549
287	13.39372023
288	13.38920234
289	13.38172734
290	13.37582514
291	13.36944207
292	13.3637347
293	13.35886781
294	13.35440542
295	13.35169341
296	13.34108178
297	13.33428939
298	13.33013746
299	13.3192591
300	13.31301417
301	13.30827636
302	13.30050318
303	13.29465028
304	13.28872159
305	13.28239477
306	13.27245098
307	13.26752069
308	13.25953692
309	13.25373705
310	13.243302
311	13.23848124
312	13.23257711
313	13.22619412
314	13.2206336
315	13.2129301
316	13.20859581
317	13.20278284
318	13.19765247
319	13.19261269
320	13.18289401
321	13.17663065
322	13.16801638
323	13.16353546
324	13.15718316
325	13.15155732
326	13.14771821
327	13.14173404
328	13.13199939
329	13.12350132
330	13.11692665
331	13.10917672
332	13.10029516
333	13.09341478
334	13.085731
335	13.07539413
336	13.07003454
337	13.06696589
338	13.06054868
339	13.05593395
340	13.05378474
341	13.0509567
342	13.03651542
343	13.03263372
344	13.02271975
345	13.01375126
346	13.00259234
347	12.99914704
348	12.99186686
349	12.98410829
350	12.97883615
351	12.971738
352	12.9667779
353	12.96008375
354	12.9560438
355	12.9501448
356	12.94439736
357	12.93885809
358	12.93152157
359	12.92674698
360	12.9199841
361	12.91608985
362	12.91072217
363	12.90433125
364	12.9001239
365	12.89313235
366	12.88838485
367	12.8846758
368	12.87817936
369	12.87127235
370	12.86127368
371	12.85338601
372	12.84865219
373	12.84267037
374	12.83692806
375	12.83311394
376	12.82315888
377	12.81711941
378	12.81040434
379	12.80267963
380	12.79684355
381	12.79143106
382	12.78428277
383	12.77649253
384	12.77048188
385	12.76309634
386	12.75759896
387	12.75387278
388	12.74676356
389	12.73840938
390	12.73039431
391	12.72129849
392	12.71583168
393	12.7080974
394	12.70331782
395	12.69688
396	12.69113337
397	12.67974458
398	12.67478642
399	12.66806005
400	12.6635988
401	12.65704697
402	12.650495
403	12.64174415
404	12.63313927
405	12.62850199
406	12.62460842
407	12.61840248
408	12.61023881
409	12.6055902
410	12.60057826
411	12.59459304
412	12.58909564
413	12.58298087
414	12.57598619
415	12.57256432
416	12.56646725
417	12.560077
418	12.5516306
419	12.54461799
420	12.5408769
421	12.53768027
422	12.52678173
423	12.51811665
424	12.51198558
425	12.50693076
426	12.50094695
427	12.49813751
428	12.49064334
429	12.4847133
430	12.47839089
431	12.47247913
432	12.46752097
433	12.46056894
434	12.45520751
435	12.45114106
436	12.44622543
437	12.43841451
438	12.43044276
439	12.42292155
440	12.41772048
441	12.41250199
442	12.40465183
443	12.39887342
444	12.39400334
445	12.38610569
446	12.3811178
447	12.37455368
448	12.37006103
449	12.36539166
450	12.3585045
451	12.35290343
452	12.34386384
453	12.33651215
454	12.32936016
455	12.32497074
456	12.31881197
457	12.31436368
458	12.30722499
459	12.30144087
460	12.2950002
461	12.28723252
462	12.28390169
463	12.27798681
464	12.27204045
465	12.26669029
466	12.25991282
467	12.25225713
468	12.24531153
469	12.24134217
470	12.23705344
471	12.22937853
472	12.22491157
473	12.22144822
474	12.21527029
475	12.21070236
476	12.20437304
477	12.19717029
478	12.18996844
479	12.18122158
480	12.17716649
481	12.16934255
482	12.16539576
483	12.16061994
484	12.15488645
485	12.14899931
486	12.14174889
487	12.13710883
488	12.13264923
489	12.12809806
490	12.11991019
491	12.11323297
492	12.10723465
493	12.09946354
494	12.09290854
495	12.0862925
496	12.07555857
497	12.07097335
498	12.06750769
499	12.06046519
500	12.05579948
501	12.05218078
502	12.04659094
503	12.04123432
504	12.03572906
505	12.02674789
506	12.01826188
507	12.00936584
508	12.0042431
509	11.99986154
510	11.99290125
511	11.98945113
512	11.98108532
513	11.97891832
514	11.97214056
515	11.96793787
516	11.96267839
517	11.96038179
518	11.95206242
519	11.94535442
520	11.93777311
521	11.93370862
522	11.92867551
523	11.92587807
524	11.91947539
525	11.91378006
526	11.90563657
527	11.90000123
528	11.89337987
529	11.8880993
530	11.88199179
531	11.87538114
532	11.86843811
533	11.8635231
534	11.85929112
535	11.85321914
536	11.84724785
537	11.84480703
538	11.84013422
539	11.83283268
540	11.82914377
541	11.82532108
542	11.81908429
543	11.80995947
544	11.80133052
545	11.79536248
546	11.78967223
547	11.78624524
548	11.78022282
549	11.77274833
550	11.76411008
551	11.75698586
552	11.74946007
553	11.74391532
554	11.74033975
555	11.73503881
556	11.72977143
557	11.72456281
558	11.7176354
559	11.71295356
560	11.70874699
561	11.70544631
562	11.699061
563	11.69171983
564	11.68489038
565	11.6792022
566	11.67382652
567	11.66755312
568	11.6657602
569	11.65917126
570	11.65655016
571	11.64725761
572	11.63972232
573	11.63446061
574	11.62849768
575	11.62427842
576	11.61874548
577	11.6115991
578	11.60353179
579	11.59642559
580	11.5920856
581	11.58633312
582	11.58051554
583	11.57616179
584	11.57060049
585	11.56279352
586	11.55750499
587	11.55267998
588	11.54567065
589	11.53767677
590	11.53225895
591	11.52567038
592	11.52016266
593	11.51556386
594	11.50728769
595	11.50453033
596	11.49522444
597	11.48864306
598	11.4839603
599	11.48089457
600	11.47084401
601	11.46661902
602	11.46318419
603	11.45889681
604	11.45389949
605	11.44717667
606	11.44271429
607	11.43807579
608	11.43239324
609	11.42678714
610	11.42135303
611	11.41750133
612	11.40934386
613	11.40583335
614	11.39773924
615	11.39214254
616	11.38546839
617	11.38215014
618	11.37998193
619	11.37096916
620	11.36791836
621	11.36081142
622	11.35342936
623	11.34879045
624	11.34250476
625	11.33588807
626	11.33054566
627	11.32677649
628	11.32285124
629	11.31793527
630	11.31092432
631	11.30560992
632	11.30224274
633	11.29397032
634	11.2893613
635	11.28022882
636	11.27460976
637	11.27121229
638	11.2663054
639	11.26105233
640	11.25747458
641	11.24871287
642	11.24274846
643	11.24053901
644	11.23471233
645	11.23125566
646	11.22464453
647	11.21963944
648	11.2162257
649	11.21225314
650	11.20782423
651	11.20283206
652	11.19899529
653	11.19340326
654	11.1870879
655	11.18142207
656	11.17807874
657	11.17276722
658	11.16938382
659	11.16464849
660	11.15680742
661	11.15320584
662	11.14725666
663	11.14070223
664	11.13633319
665	11.12862939
666	11.12339505
667	11.118083
668	11.11015262
669	11.10586258
670	11.09943448
671	11.09424344
672	11.08999301
673	11.08224125
674	11.07791856
675	11.06830306
676	11.06330403
677	11.05926559
678	11.05192145
679	11.04722483
680	11.04307345
681	11.03956215
682	11.03418513
683	11.03018214
684	11.02825177
685	11.02179128
686	11.01742336
687	11.01222763
688	11.00644351
689	11.00384815
690	10.99938722
691	10.99566973
692	10.98977838
693	10.98581794
694	10.9816017
695	10.9768824
696	10.97099942
697	10.96339542
698	10.95681517
699	10.95214802
700	10.94525982
701	10.9394993
702	10.93189363
703	10.92892801
704	10.92415787
705	10.91619525
706	10.91256299
707	10.90425251
708	10.89894968
709	10.89289377
710	10.89016563
711	10.88587436
712	10.88119917
713	10.87714434
714	10.8723444
715	10.86409083
716	10.85956255
717	10.85743872
718	10.8529623
719	10.8484102
720	10.8412853
721	10.83719128
722	10.83087701
723	10.82378934
724	10.81540557
725	10.80930473
726	10.80122879
727	10.79718811
728	10.78989127
729	10.78636389
730	10.78112395
731	10.77387984
732	10.7701127
733	10.76714435
734	10.76204014
735	10.75598071
736	10.75016443
737	10.74630293
738	10.74145957
739	10.73387005
740	10.72934178
741	10.72543171
742	10.72330904
743	10.71853004
744	10.71476351
745	10.71051954
746	10.70650021
747	10.70085933
748	10.69731482
749	10.69199422
750	10.68883967
751	10.68610486
752	10.68301722
753	10.68030591
754	10.67678011
755	10.67092607
756	10.66859473
757	10.66388311
758	10.65824526
759	10.65741402
760	10.65464291
761	10.64903519
762	10.64491845
763	10.64088722
764	10.63482667
765	10.63189036
766	10.62779926
767	10.62428513
768	10.61972511
769	10.6144511
770	10.61169144
771	10.60649583
772	10.60117121
773	10.59726303
774	10.59219862
775	10.58903149
776	10.5826177
777	10.57642835
778	10.57034809
779	10.56340303
780	10.5574591
781	10.55120872
782	10.54795906
783	10.54289875
784	10.53963991
785	10.536636
786	10.53240234
787	10.52805657
788	10.52297669
789	10.51712082
790	10.5099674
791	10.50258538
792	10.49677471
793	10.4922729
794	10.48964175
795	10.48316058
796	10.47842911
797	10.47422219
798	10.46960639
799	10.46491014
800	10.46216774
801	10.45531657
802	10.45054917
803	10.44820119
804	10.44406616
805	10.44130771
806	10.43788089
807	10.43364094
808	10.42787719
809	10.42371613
810	10.41947675
811	10.41486855
812	10.41192133
813	10.40600144
814	10.39986258
815	10.39383436
816	10.38686853
817	10.38029087
818	10.37776151
819	10.37337524
820	10.36834478
821	10.36421523
822	10.36184549
823	10.3598234
824	10.35571557
825	10.35371886
826	10.35103452
827	10.34633668
828	10.34207068
829	10.33611709
830	10.33241815
831	10.32701252
832	10.32309377
833	10.31539169
834	10.30923249
835	10.30563836
836	10.30154283
837	10.29633637
838	10.29201231
839	10.28628551
840	10.28012754
841	10.2733835
842	10.26888958
843	10.26411366
844	10.25599123
845	10.25104586
846	10.24684751
847	10.24446286
848	10.24075893
849	10.23793706
850	10.23532488
851	10.23005767
852	10.22529796
853	10.22113057
854	10.21575449
855	10.21182568
856	10.20713131
857	10.20341174
858	10.20137706
859	10.19871303
